year,count
2016,396
2015,447
2014,431
2013,454
2012,376
2011,333
2010,321
2009,277
2008,297
2007,279
2006,266
2005,224
2004,270
2003,205
2002,200
2001,204
2000,191
1999,170
1998,183
1997,185
1996,157
1995,133
1994,124
1993,154
1992,116
1991,111
1990,105
1989,93
1988,97
1987,102
1986,69
1985,72
1984,52
1983,50
1982,34
1981,50
1980,29
1979,29
1978,26
1977,27
1976,39
1975,19
1974,8
1973,6
1972,6
1971,6
1970,5
1969,3
1968,7
1967,8
1966,5
1965,3
1964,4
1963,4
1962,3
1961,2
1959,3
1958,1
1957,2
1955,2
